duration_sum,duration_count,type_day,hs_day,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,mean_hs_dayType
130 days 04:21:40.999999876,7745,LNPH,3124.3611111111113,16.1,11.2,,,,,,,,,0.4034036295818091
75 days 17:21:31.999999934,4785,LPH,1817.358611111111,16.1,11.2,,,,,,,,,0.37980326251015906
119 days 15:31:57.999999900,7303,LNPH,2871.5325,15.9,13.5,21.6,0.0,,,,,,,0.39319902779679583
69 days 03:49:37.999999943,4466,LPH,1659.8269444444445,15.9,13.5,21.6,0.0,,,,,,,0.37165851868438077
129 days 05:18:07.999999862,6897,WEND,3101.3019444444444,16.2,14.9,19.6,0.0,,,,,,,0.44965955407342967
147 days 06:04:44.999999842,6444,WEND,3534.0788888888887,17.9,15.4,,10.9,,,,,,,0.5484293744396165
74 days 05:35:01.999999638,4833,LNPH,1781.5836111111112,,,,,,,,,,,0.36862892843184586
82 days 07:22:20.999999921,5034,LPH,1975.3722222222223,,,,,,,,,,,0.3924060830795038
117 days 22:39:07.999999896,7100,LNPH,2830.6519444444443,21.2,16.6,,,,,,,,,0.398683372456964
84 days 03:31:43.999999939,5245,LPH,2019.528611111111,21.2,16.6,,,,,,,,,0.38503882004025
123 days 01:20:01.999999884,7142,LNPH,2953.333611111111,16.8,11.6,23.0,27.9,,,,,,,0.41351632751485734
74 days 11:03:56.999999935,4764,LPH,1787.0655555555556,16.8,11.6,23.0,27.9,,,,,,,0.3751187144323165
151 days 12:45:19.999999908,9002,LNPH,3636.755277777778,20.7,11.0,,0.0,,,,,,,0.40399414327680266
86 days 10:52:56.999999919,5428,LPH,2074.882222222222,20.7,11.0,,0.0,,,,,,,0.38225538360763117
166 days 23:32:34.999999844,9192,LNPH,4007.5427777777777,21.4,16.6,,,,,,,,,0.4359815902717339
96 days 10:26:30.999999942,5628,LPH,2314.4416666666666,21.4,16.6,,,,,,,,,0.41123696991234304
194 days 18:07:37.999999812,9314,WEND,4674.126944444444,24.3,18.6,,,,,,,,,0.5018388387851025
228 days 07:51:11.999999764,9132,WEND,5479.853055555555,21.6,18.0,31.8,,,,,,,,0.6000715128729255
155 days 13:49:44.999999852,8924,LNPH,3733.8288888888887,,,,,,,,,,,0.4184030579212112
89 days 23:45:01.999999904,5389,LPH,2159.7502777777777,,,,,,,,,,,0.40077013876002554
205 days 11:12:47.999999716,8969,LNPH,4931.213055555556,19.1,16.4,22.9,,,,,,,,0.5498063391186928
108 days 08:14:41.999999886,5129,LPH,2600.244722222222,19.1,16.4,22.9,,,,,,,,0.5069691406165378
144 days 10:01:21.999999888,8625,LNPH,3466.0225,20.2,17.9,22.7,,,,,,,,0.4018576811594203
86 days 23:37:14.999999949,5480,LPH,2087.6205555555557,20.2,17.9,22.7,,,,,,,,0.3809526561232766
116 days 03:17:01.999999892,7082,LNPH,2787.283611111111,17.2,14.7,23.6,0.0,,,,,,,0.3935729470645455
62 days 05:32:26.999999939,4157,LPH,1493.5405555555556,17.2,14.7,23.6,0.0,,,,,,,0.35928327052094194
123 days 06:20:13.999999906,7462,LNPH,2958.3369444444443,17.4,15.0,,9.9,,,,,,,0.3964536242889901
72 days 07:27:22.999999947,4718,LPH,1735.456111111111,17.4,15.0,,9.9,,,,,,,0.36783724271112994
134 days 04:21:33.999999880,6353,WEND,3220.3591666666666,19.9,16.6,22.1,7.9,,,,,,,0.5069036937929587
132 days 02:23:51.999999860,5972,WEND,3170.3975,17.8,15.0,22.2,48.0,,,,,,,0.5308770093770931
109 days 09:00:38.999999888,6842,LNPH,2625.0105555555556,14.3,12.2,20.5,2.0,,,,,,,0.3836612913702946
70 days 20:35:34.999999939,4581,LPH,1700.5927777777779,14.3,12.2,20.5,2.0,,,,,,,0.3712274127434573
134 days 18:30:34.999999884,8173,LNPH,3234.5094444444444,12.1,5.0,,0.0,,,,,,,0.3957554685482007
81 days 13:54:15.999999933,5247,LPH,1957.9041666666667,12.1,5.0,,0.0,,,,,,,0.37314735404358046
144 days 17:23:04.999999884,8627,LNPH,3473.3844444444444,16.9,10.4,,,,,,,,,0.4026178792679314
85 days 10:50:58.999999948,5323,LPH,2050.8494444444445,16.9,10.4,,,,,,,,,0.385280752290897
150 days 05:13:37.999999856,8858,LNPH,3605.2269444444446,16.4,9.7,23.7,,,,,,,,0.40700236446652116
85 days 09:15:13.999999942,5310,LPH,2049.2536111111112,16.4,9.7,23.7,,,,,,,,0.3859234672525633
